ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
1965-02-17 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 5.6, 0, -1.1, , 9, 9, 9, 0, , , , , ,
1965-02-18 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 7.8, 3.9, 3.9, , 9, 9, 9, 0, , , , , ,
1965-02-18 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 7.2, -2.8, -5, , 9, 9, 9, 0, , , , , ,
1965-02-18 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 5.6, -5, -6.7, , 9, 9, 9, 0, , , , , ,
1965-02-19 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 7.2, 4.4, 3.9, , 9, 9, 9, 0, , , , , ,
1965-02-19 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 6.1, -1.1, -2.8, , 9, 9, 9, 0, , , , , ,
1965-02-19 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 2.2, -2.2, -3.3, , 9, 9, 9, 0, , , , , ,
1965-02-20 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 7.2, 2.2, 1.7, , 9, 9, 9, 0, , , , , ,
1965-02-20 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 6.7, 1.1, -1.7, , 9, 9, 9, 0, , , , , ,
1965-02-20 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 3.3, -3.3, -4.4, , 9, 9, 9, 0, , , , , ,
1965-02-21 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 6.7, -2.2, -5.6, , 9, 109, 109, 0, , , , , ,
1965-02-21 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 3.9, .6, -1.7, , 9, 9, 9, 0, , , , , ,
1965-02-21 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, -1.7, -3.3, -3.9, , 9, 9, 9, 0, , , , , ,
1965-02-22 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 6.1, 0, -.6, , 9, 9, 9, 0, , , , , ,
